,0
0,AAPL
1,ABNB
2,ADI
3,ADP
4,ADSK
5,AEP
6,AMAT
7,AMD
8,AMZN
9,AZN
10,BKR
11,CDNS
12,CEG
13,CMCSA
14,CPRT
15,CRWD
16,CSCO
17,CSGP
18,CSX
19,CTSH
20,DDOG
21,DLTR
22,DXCM
23,EA
24,EBAY
25,ENPH
26,EXC
27,FANG
28,FAST
29,FI
30,FTNT
31,GFS
32,GILD
33,GOOG
34,GOOGL
35,HON
36,ILMN
37,INTC
38,JD
39,KDP
40,KHC
41,LCID
42,MAR
43,MCHP
44,MDLZ
45,META
46,MNST
47,MRNA
48,MRVL
49,MU
50,NXPI
51,ON
52,PANW
53,PAYX
54,PCAR
55,PDD
56,PEP
57,PYPL
58,QCOM
59,ROST
60,SBUX
61,SGEN
62,SIRI
63,TEAM
64,TMUS
65,TSLA
66,TXN
67,VRSK
68,WBA
69,WBD
70,WDAY
71,XEL
72,ZM
73,ZS
