,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DDOG,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FI,FTNT,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LCID,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,TEAM,TMUS,TSLA,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZM
AAPL,1.0,0.7737252446694182,0.8044701366964567,0.5018274481824186,-0.03403697369796593,0.43856534008653997,-0.6991969497358702,0.40374110590186346,0.8950996509838733,0.9374795686481956,-0.24679880397243525,0.8917566306956266,0.7726735070565866,0.5689308658406196,0.8895694818984691,0.03066424192185124,-0.2511453138511076,0.8196172617147566,0.5305813679234108,0.9105256451695176,0.5479767167108677,0.32463545623357487,0.7394684399337487,0.8005624813610007,0.9484979915224251,0.7783375242116183,0.5354337437243536,0.51033695098159,0.320822330988981,0.7902881548911519,0.6257473932377332,0.8050843944727278,-0.2998627528271403,0.07851812928137263,0.5327825361148737,-0.11242444242536608,-0.751061462691489,-0.5014292423520542,0.21633680347680018,0.9157904383233537,0.8806637562618197,0.6095742459313261,-0.10775618476911142,-0.7995459128486394,0.8637381236730726,0.867150758086219,-0.4442980340718931,0.4092250053664596,-0.4712793518844317,0.7438022292399356,0.7682989403996725,0.7814356441913861,-0.8165089812535861,-0.704553801599166,-0.699164708782813,0.7608196077092555,-0.5187714319005617,0.9106271582030816,0.7791741311881393,0.7941362983133173,0.569169869725948,0.5750397766914858,0.7115021433244346,0.9344933880817696,0.7024109172317098,-0.8082527692974203,0.8314605459325666,0.9485761997537229,0.8177321242554761,0.845451459119935,0.9278831559143376,0.7589735280604563,0.6602948708754789,0.6747062185023266,0.8723064712719554,0.9142114648824173,0.18128791645831213,0.8127635030199353,0.014302156179789484,0.09563946241605795,-0.5657429619480272,-0.06640815191478874,0.3284699521727738,0.028610465414428396,-0.2922555937515912,0.8027282451996741,-0.3916027611516977,0.8497554968252788,0.6505208694678529,-0.3727901733432452,0.8540492665607717,-0.21980759156928178,0.8639241604004202,0.8363100211508762,-0.7023237223514202,-0.11907475577568258,0.8669025313029464,-0.6718821576188577,-0.2699666795191083
ABNB,0.7737252446694182,1.0,0.6729605082105247,0.5946221915445884,0.10756318855274202,0.6272976550098867,-0.5933520447153721,0.6327265987556608,0.7648683466467211,0.6770753239013454,-0.22113135698112085,0.716469139145907,0.7285820963300338,0.3981554146303423,0.7069369825054268,-0.14756999832129392,-0.3401902617154582,0.815217353847316,0.6807406322546045,0.7329164374521154,0.41432050866428916,0.5293384014130398,0.7360823910686318,0.7293582318653421,0.6958056555961266,0.551629315342779,0.6261853256371337,0.347940574962814,0.1512656658681225,0.5419202081664547,0.7327650750543808,0.6393724875867498,-0.2527113980882027,0.0245399311298348,0.16479285557502182,0.17475075217681516,-0.6327644902256356,-0.34423299525563034,0.32149418491900084,0.7030066489842708,0.8233001229880925,0.5485458419543756,0.1803093959472917,-0.6759648317504862,0.6542776588301532,0.6603504536745989,-0.44523484554230575,0.5682950724081812,-0.3261572823688251,0.5727575714038214,0.696770545362408,0.46735750994563924,-0.5969647650070525,-0.4283854743508868,-0.616143011936796,0.5677184532020279,-0.21496813780947271,0.7513038461892966,0.5009101789363809,0.7911178781463366,0.7118775341499506,0.31042788383167647,0.6476997775392787,0.7597014414511701,0.46441619512542665,-0.6278768712755213,0.7292020514373465,0.656972475354744,0.6261470867687514,0.6743420572690544,0.7563264106138181,0.8688572101338743,0.8031272155149318,0.7979877392374296,0.5823825268997902,0.7397402052151809,0.325134257664151,0.7795691843418453,0.12935724647517935,-0.001874497187788329,-0.25013218893087164,0.14020134532229458,0.36517696330963073,0.06948972602597482,-0.2553032188988784,0.6460216395085503,-0.2966252702115833,0.648811902668809,0.7812417101854113,-0.26378793332893846,0.8638049540274868,-0.021511297917648876,0.6628123314766413,0.5578449537940835,-0.5740366676381451,0.2180468088384064,0.7944659228857547,-0.6563336581814824,0.10203542409402996
ADBE,0.8044701366964567,0.6729605082105247,1.0,0.07306999694263601,0.31513376058271386,0.5101327786443575,-0.864620392078882,0.06670571321056529,0.9215899807620291,0.7750099109075148,0.264027225619396,0.9495963609606699,0.3888002806982666,0.23363939790092814,0.9628408647308683,-0.3635931833148013,-0.6585364264580029,0.8508209482152551,0.8247835396244344,0.9026628617740814,0.9045118958423742,0.6711037244317796,0.8200111600361125,0.9533779581042628,0.8904856017036943,0.894259957619074,0.6949482828693815,0.5275995937865549,0.1591339947265126,0.9329321546432667,0.7776360014278503,0.792580178804907,-0.6698016778819077,-0.33421493651018486,0.48248844854298384,-0.32749673018367914,-0.8190752691215564,-0.6166229782550363,0.6280082206243925,0.8539145885645085,0.6637471408077603,0.12523738978271576,-0.39021097819736056,-0.7280535496631497,0.9125281583494876,0.9100944368823728,-0.5024496966714468,0.07692543096656138,-0.8191168563976822,0.9158820509782254,0.944575573335242,0.5664206846107862,-0.7304741783787719,-0.6756444044599593,-0.8995436354165531,0.9377549313903488,-0.7157110679862563,0.9238659309412202,0.8039045935808724,0.8947813745073891,0.35567019201166455,0.16049889410517615,0.6280744234361942,0.909902487465676,0.36059832156541083,-0.8525030588364569,0.7853802566940222,0.8778405645825167,0.8595237129257801,0.8897859344135604,0.9386885199658404,0.7676828645795362,0.8487964201994198,0.47207628249962186,0.7695664481847574,0.8994115016239355,0.46739284306728757,0.9417124987037515,0.4996069499373832,-0.3587453626908715,-0.7220496250992116,-0.04377681946507261,0.4848513388134789,0.5037972801540056,-0.4905446652981833,0.6618939923561528,-0.05083880717865291,0.947351882417723,0.7956045322935943,-0.24118096494926625,0.8022147291278734,-0.5235198303927526,0.9090433258655313,0.8237995187359497,-0.8885525802900766,-0.4063211337644196,0.9133581237967987,-0.8493634591780272,-0.2994518937090061
ADI,0.5018274481824186,0.5946221915445884,0.07306999694263601,1.0,-0.29157760988247716,0.33758953187241103,0.05651487067643773,0.7353581238013369,0.311427297410379,0.45371694644756116,-0.6666336106938311,0.1886833815213435,0.7945557448997312,0.6659252127228324,0.2024481834013396,0.31377827791561264,0.20381416022307186,0.2946339848992895,-0.033498489549798206,0.3038696960776677,-0.26785916880919003,-0.17537406184818283,0.1525619581871966,0.12189433982847449,0.2993748360173555,0.07561359920892796,0.08501638042962646,0.1428471323666247,0.30195328288169954,0.056409730493056004,0.17507560936658362,0.31545565926382074,0.41799797012773726,0.6230172698118344,0.11933932878098956,0.37090929459436234,-0.0731130948405472,0.09904316203132464,-0.35248854363389726,0.3375802070065611,0.6407844515834932,0.7743263853043347,0.6603477058159922,-0.27281104796704525,0.12063030393601111,0.13002714157327366,-0.016443129115908235,0.795845337492351,0.3509075538230027,0.10272410084660624,0.11689767416199336,0.3756074950857118,-0.2048470388804274,-0.005380211001038294,0.046254514836128593,0.0715640811184533,0.23151786613009318,0.30098646411836477,0.11564819857333897,0.19878336179630707,0.8113304111955773,0.5138549789683671,0.3775927445030462,0.2802562049924297,0.501650180083229,-0.09910057371605646,0.3710682670287027,0.28573820991597937,0.18261414553766067,0.26394397701010824,0.2550645003816309,0.4978724790814652,0.17272635001418793,0.5669825217546984,0.2721889884604537,0.2927527789132361,-0.028279920167897044,0.19778543109482355,-0.3903340771342341,0.5094719905657411,0.25825832459305376,0.3492991625342725,-0.025924776204390463,-0.37480319870900364,0.24409909758801387,0.35239989096946134,-0.3906756443962321,0.14300573965262436,0.19170449682852123,-0.13086006956600443,0.45085676828572124,0.5573356915088908,0.11762482889291591,0.07045653897437948,0.08204016273651189,0.5967321349578055,0.3287411718778677,0.005290814924732895,0.34387632259619166
ADP,-0.03403697369796593,0.10756318855274202,0.31513376058271386,-0.29157760988247716,1.0,0.21512826474837798,-0.1996887795818858,-0.10127703342962434,0.20241752672194227,-0.12342820685904356,0.6624410164996849,0.18754689750146755,-0.31389126889412977,-0.30886450350926686,0.19660330423818606,-0.21156633778389428,-0.264137185379982,0.16243264431998622,0.5437394179674455,-0.020901900798420504,0.4791801486386606,0.6127279050647776,0.3946816615615722,0.28738960917029377,0.017113208683222463,0.09362774442904151,0.48207935167072746,0.4034077740738859,0.11053760999017946,0.27142681204064145,0.3889672905615507,0.22659293152308563,-0.27418222190913205,-0.30580114129209807,0.08157825332083754,-0.0396360323663382,0.057491015219243775,-0.03707897667399868,0.45726171009369754,0.00498070391891839,-0.09900110094016558,-0.3199722605273379,-0.2515798058209299,0.04699110689803324,0.23028529341114326,0.23232763575306073,0.09045948823379454,-0.09057645173214071,-0.2905300600458085,0.22127428988643574,0.3534813570464249,0.10039957464396543,0.15219141914301657,0.16415870831553941,-0.30198124259180603,0.33312369124010605,-0.1603132471398925,0.21059411543679288,0.16506553150574843,0.3514704849038279,0.011666081758087572,-0.2241021142075325,-0.223737205941727,0.05658878970590705,-0.1312515134270392,-0.008827699461419578,0.24299248657133243,-0.019614505030141144,0.03879992958249942,0.14295570787642803,0.1620874555841208,0.34249059714677205,0.4078128170299332,0.2240972595592025,0.0468020595315161,0.06608975424621899,0.858748831829759,0.27548341705452967,0.38356328901014886,-0.16075013638974547,-0.14286254508167667,-0.07802226985452856,0.18390399886230524,0.572780351364509,-0.32784109369219755,-0.23250935626216812,0.5739128095096524,0.10632529147356827,0.28308280715148654,-0.10982640070039199,0.1977462510090411,-0.10592311952724796,0.2727227625306046,0.140448616559869,-0.14910454075644503,-0.36894358704559427,0.2245153993346435,-0.30877791797642934,0.1679329873663187
ADSK,0.43856534008653997,0.6272976550098867,0.5101327786443575,0.33758953187241103,0.21512826474837798,1.0,-0.3941868266753652,0.33778255988765554,0.5705715672962517,0.42302089192503994,-0.025542760155505634,0.4950213324390529,0.3119625475456156,0.4308852611093814,0.46932172494876684,-0.30647350785291944,-0.2556602019142447,0.4908089958503251,0.575067625835864,0.4706767548340329,0.39774391742183574,0.5542414926452738,0.5187452657820202,0.5519666812760884,0.40859354438112866,0.3798431180372354,0.4358401360492038,0.42503636126845645,0.2154656573116166,0.38759552937877445,0.7362742494351388,0.556752924895743,-0.23644325707639555,-0.08353114368569299,0.04860549241143021,0.3971469451818048,-0.3454986570136798,-0.307336571025458,0.34577852328507847,0.46456715100113527,0.4672526917257692,0.17150167664354596,0.17682997492090416,-0.3056930791697326,0.4303470624918021,0.4307857989751491,-0.15153678559631834,0.42403599587787055,-0.25856493729246494,0.4365785235604667,0.5259686190858583,0.19036512541367534,-0.17224317984812096,-0.22396751994896877,-0.39567477057487327,0.5193923210768476,0.08756499238878916,0.5361643146954213,0.242141754327415,0.586538051308371,0.6167437698189562,-0.07409586171396769,0.42752842164147487,0.4171132386268598,0.17760235449566858,-0.27199610793224194,0.5504462631563249,0.3844039945135237,0.5092813854543852,0.5739772230218921,0.45864258663304663,0.7099334614821263,0.6144568121021395,0.5082719882571431,0.23952578686435755,0.4408896309942424,0.4420585214209823,0.5412571490778681,0.4070826071952003,-0.2744312129114712,-0.04793857787629663,0.4611787435261124,0.23349225891146652,0.38578047878658256,-0.05910716630052228,0.17287351776112955,0.027694014013602834,0.4812038094387516,0.7027364642987145,-0.07392458044869599,0.6252066524360639,0.07291716163767238,0.38100739793962474,0.2738773301767794,-0.3408280040068417,0.22080022847259081,0.5704205400322344,-0.4414260984434544,0.47418344682993524
AEP,-0.6991969497358702,-0.5933520447153721,-0.864620392078882,0.05651487067643773,-0.1996887795818858,-0.3941868266753652,1.0,-0.07120011747150505,-0.8453264811938018,-0.7193262730723972,-0.20238101519939522,-0.8492383255124415,-0.32884188422304067,-0.05435138880432338,-0.857153120804964,0.35472926233352964,0.6118755711565793,-0.8277630440999383,-0.7250325258931957,-0.8385249412727558,-0.816257941163327,-0.637521341339807,-0.7674578585059509,-0.8380125481130553,-0.822476582397355,-0.8473060542452912,-0.6915661514001847,-0.27851906096711265,0.09147789762790687,-0.7570246401122456,-0.6870032214602325,-0.6259782981688411,0.7820367864626119,0.5470757380203957,-0.17588714526463137,0.41025863455787054,0.8736808172358727,0.8522556863919559,-0.5963892737549517,-0.7548019808212011,-0.5212246220207414,-0.07155100294207126,0.44682270667496227,0.8179183475076541,-0.8914289155402603,-0.8894483574445865,0.7431967949336044,0.11164765877667152,0.814935519200285,-0.7347723642395392,-0.8379346981626683,-0.3735430167180007,0.8123450286852509,0.7963072219963394,0.9419279470497391,-0.7923824874587007,0.7152836128850097,-0.8315991988852574,-0.646593764056614,-0.8186010116462854,-0.15836778191250503,-0.04819590949596224,-0.6127330001012051,-0.8698054229341349,-0.2581885256503588,0.8855891179566086,-0.6714516898486101,-0.7783259949248151,-0.7929765249505443,-0.7013121690819177,-0.8787253752474704,-0.6131856917781343,-0.7774472550215323,-0.4838736802849306,-0.6530231686274357,-0.8368708181062228,-0.2126926250294302,-0.8218198731735682,-0.4233285050516546,0.4962178899529598,0.8504443287360007,0.3016633438979137,-0.5508398107966693,-0.283042420508654,0.6863653873451584,-0.7247590174098356,0.2965302064257152,-0.877324585132127,-0.8085933176436315,0.38733336049206546,-0.7268322087570399,0.6503494889355923,-0.8679099548509618,-0.7455583369366369,0.9341751166503642,0.4076780941129163,-0.7908422247709121,0.9636413095099075,0.4067158670267077
ALGN,0.40374110590186346,0.6327265987556608,0.06670571321056529,0.7353581238013369,-0.10127703342962434,0.33778255988765554,-0.07120011747150505,1.0,0.2908679785447852,0.32386904423749757,-0.5720153676223011,0.19257901113506426,0.7193377508251663,0.44094232405007644,0.1685068934658422,0.33497984279722515,0.27652812222559053,0.37380031892110516,0.18442521899883454,0.2026746410174665,-0.26616341523293297,0.04579824714525867,0.37316325850584364,0.10127767608993782,0.20973720466770707,-0.08776529137118487,0.33689049456841597,0.05617466428086311,0.11195239928840506,-0.1021892830056262,0.3061193315039994,0.1577026016635532,0.3126912384127638,0.36198054228704907,-0.17385756758579704,0.479876665776657,-0.1422632036850545,0.06890810464446469,-0.19130525615565988,0.2209617623254215,0.5277997659083383,0.7060198008660777,0.45648234917726316,-0.287330589940649,0.1786322459418849,0.18973354331846867,-0.18606694488389838,0.7576481534883702,0.377545749124547,-0.047294528811474806,0.11365479846136796,0.29642268041099895,-0.19759560673299456,-0.032629860309366536,-0.08939147080559372,-0.006893525404236487,0.27823957024523094,0.28234656789855794,-0.017711037407049428,0.2751194759600498,0.6243274682229116,0.38783017458360364,0.2882419409703957,0.2779078130176374,0.45215862394602774,-0.08318741241355208,0.3761109184163131,0.15361395667517055,0.08629082543575282,0.18589913496204172,0.26808411017380485,0.5001937921552471,0.3309510922078774,0.7682902561915408,0.16417312870947046,0.21261801560120305,0.03360631175354444,0.17142465154714642,-0.4662869258322958,0.424520677910443,0.24203689216435678,0.04835165951185517,0.12131168401606189,-0.43021465048869645,0.02529162075082939,0.32396665992733154,-0.46052898320542063,0.03602012263724442,0.37125838073045453,-0.381835534223329,0.4480138772128895,0.5188091462742711,0.17522436631350083,0.08003058604302161,0.02353086715279625,0.6170470923019516,0.33414391737391574,-0.16212613610491466,0.3253529672245997
AMAT,0.8950996509838733,0.7648683466467211,0.9215899807620291,0.311427297410379,0.20241752672194227,0.5705715672962517,-0.8453264811938018,0.2908679785447852,1.0,0.8940162543367797,-0.01580011040210448,0.9523540677475485,0.5855705452965545,0.4668798493996287,0.9593840151885452,-0.23027035176777497,-0.49101421342393564,0.872109712054799,0.7294173373938133,0.910718347358032,0.747796244407265,0.5572649658369019,0.8302337203792054,0.8909399077080674,0.9174737758565118,0.8350741833949492,0.7038182850585813,0.5419241535434587,0.2250483385520339,0.8394625693442497,0.7848447226665934,0.8414578116808255,-0.5089233237528571,-0.16137261837472675,0.3914440175594439,-0.1912251922275969,-0.8004220841473537,-0.6556303673602687,0.4165166146952199,0.8806040134393,0.762736126115186,0.33926642248084105,-0.21926072739841485,-0.8271881014132487,0.9125869550991433,0.9134333091033852,-0.5239777909113404,0.2798588503398884,-0.6401098116766105,0.8227930292555321,0.8710854963951854,0.6311167558086971,-0.7407385431840758,-0.677753890047101,-0.842259323478479,0.9237579464196654,-0.5804223277289118,0.9837641766926101,0.7127812827408959,0.8915318165215115,0.5371246219398567,0.31713001099664906,0.6894623105016564,0.9272856592036115,0.5410865285427465,-0.8253335628989198,0.8870621111891874,0.8932435439003323,0.8661850312854051,0.9027563839117603,0.9627291473149373,0.8539694606870619,0.813821270223941,0.6566072676992594,0.7688170569543004,0.9123395188397512,0.38769658689058456,0.8926546622762791,0.3082562502278762,-0.19444301715579884,-0.6493015875610629,-0.018397533826226078,0.3992412350173513,0.30113351026915336,-0.4646342933230445,0.7055944723446559,-0.23429281954072878,0.9165255596242481,0.810787309506651,-0.39992042203943184,0.8801765449320477,-0.3213356752733755,0.904855890108964,0.774385900797897,-0.8159674180619328,-0.20184215101925865,0.9389239221095489,-0.8570171039301064,-0.18125860494107235
AMD,0.9374795686481956,0.6770753239013454,0.7750099109075148,0.45371694644756116,-0.12342820685904356,0.42302089192503994,-0.7193262730723972,0.32386904423749757,0.8940162543367797,1.0,-0.2849115691478424,0.8743040957275129,0.7415055256077908,0.6290708760515297,0.8773690222242612,0.006096834617660715,-0.25708680336628725,0.7725035766494607,0.44047137615264953,0.9046864765999287,0.5351670877451619,0.2424010543148646,0.659248406309295,0.7511582307339256,0.9254234474047034,0.7977390494063251,0.49595325644191873,0.446249389643474,0.24916223546435412,0.7509857654123259,0.581940076293245,0.7884421339288957,-0.3351834777700375,0.06384588755884907,0.4679212908871578,-0.16795294882604037,-0.7404385901911515,-0.5999423412229722,0.15377420157192764,0.8604519323555211,0.7898723588801261,0.5359544174831029,-0.10493006855717472,-0.8054455135413159,0.8492754520431145,0.8516741389192297,-0.47984679758572485,0.32425711469533164,-0.45263031919990765,0.7291153938832049,0.7078106992544745,0.7038624233632452,-0.78867816171301,-0.7244170352008993,-0.6730102159388704,0.7797263426275175,-0.5203125472920905,0.8978335202325263,0.6891580402306162,0.723785451628841,0.5215189844480616,0.521873312034371,0.7229469611157041,0.9011134937785887,0.6735747880229357,-0.788418163805979,0.8356396204155864,0.9291839199639184,0.8430940381343976,0.8365485481341778,0.8991371138540925,0.7024016640761883,0.5693224715126687,0.6013996019117355,0.7897765534615526,0.8744345092960487,0.10967822311307894,0.7406625515146493,0.04341065719978047,0.009784433330918723,-0.6028899701103935,-0.03780872390588063,0.29797515922442347,-0.006010649290977942,-0.33156159988838474,0.7792116006097954,-0.43629369036729176,0.8650854095027266,0.649549445220456,-0.4210328406978768,0.8009871688463215,-0.21434330941363797,0.8200224724786173,0.7443926836767581,-0.690246080665661,-0.10487746684440623,0.8339738182297451,-0.6757577794841897,-0.26036306981158347
